,oldMonth,OldTemp,Month,Temp
0,January,67.78631987588952,May,70.79033957316663
1,February,67.44903257059681,June,72.47298635202081
2,March,67.95953868430381,July,73.4597334481897
3,April,69.28342519537644,August,74.12677528207477
4,May,70.79033957316663,September,73.83502142674912
5,June,72.47298635202081,October,73.06356646146733
6,July,73.4597334481897,November,71.24472073464183
7,August,74.12677528207477,December,69.19661364554531
8,September,73.83502142674912,January,67.78631987588952
9,October,73.06356646146733,February,67.44903257059681
10,November,71.24472073464183,March,67.95953868430381
11,December,69.19661364554531,April,69.28342519537644
