,oldMonth,OldTemp,Month,Temp
0,January,69.02616859184074,May,72.27582479817008
1,February,68.79763307580306,June,74.04173040936791
2,March,69.31439539229207,July,75.08564603200887
3,April,70.64866988197096,August,75.87492798029596
4,May,72.27582479817008,September,75.88320253796658
5,June,74.04173040936791,October,74.83601486613564
6,July,75.08564603200887,November,72.44076955173664
7,August,75.87492798029596,December,70.27788899404732
8,September,75.88320253796658,January,69.02616859184074
9,October,74.83601486613564,February,68.79763307580306
10,November,72.44076955173664,March,69.31439539229207
11,December,70.27788899404732,April,70.64866988197096
