,oldMonth,OldTemp,Month,Temp
0,January,61.66910434017393,May,64.23168940242668
1,February,61.11189176408444,June,65.4292829425361
2,March,61.6638838049062,July,66.66431147925472
3,April,62.67861473630239,August,67.14971266525639
4,May,64.23168940242668,September,66.68991460147792
5,June,65.4292829425361,October,66.20659813346379
6,July,66.66431147925472,November,64.59672309968347
7,August,67.14971266525639,December,62.64346434199861
8,September,66.68991460147792,January,61.66910434017393
9,October,66.20659813346379,February,61.11189176408444
10,November,64.59672309968347,March,61.6638838049062
11,December,62.64346434199861,April,62.67861473630239
