,oldMonth,OldTemp,Month,Temp
0,January,69.18235481191792,May,72.31434418936286
1,February,68.91381406935508,June,74.00252944209971
2,March,69.47001155408311,July,74.9564250909036
3,April,70.83568599314596,August,75.6393343158606
4,May,72.31434418936286,September,75.44780144253969
5,June,74.00252944209971,October,74.61634188597932
6,July,74.9564250909036,November,72.74716283868142
7,August,75.6393343158606,December,70.65632074950564
8,September,75.44780144253969,January,69.18235481191792
9,October,74.61634188597932,February,68.91381406935508
10,November,72.74716283868142,March,69.47001155408311
11,December,70.65632074950564,April,70.83568599314596
