oldMonth,RF_in,Month,RF
January,8.93571287759204,December,10.79313946829328
February,8.738187782301047,January,8.93571287759204
March,11.910777451988272,February,8.738187782301047
April,11.0604809729144,March,11.910777451988272
May,6.11805459577134,April,11.0604809729144
June,3.737609843466495,May,6.11805459577134
July,6.065976632292719,June,3.737609843466495
August,6.933983459222453,July,6.065976632292719
September,4.03578620871085,August,6.933983459222453
October,5.537611936531582,September,4.03578620871085
November,9.774918674466958,October,5.537611936531582
December,10.79313946829328,November,9.774918674466958
