,oldMonth,OldTemp,Month,Temp
0,January,64.02184432708597,May,66.65641197234682
1,February,63.55749593636462,June,67.82319364438081
2,March,64.144341842154,July,68.96906812317923
3,April,65.17378187817769,August,69.50415729435632
4,May,66.65641197234682,September,69.1370424723915
5,June,67.82319364438081,October,68.60163412951584
6,July,68.96906812317923,November,66.9979813831919
7,August,69.50415729435632,December,65.05586132505604
8,September,69.1370424723915,January,64.02184432708597
9,October,68.60163412951584,February,63.55749593636462
10,November,66.9979813831919,March,64.144341842154
11,December,65.05586132505604,April,65.17378187817769
