oldMonth,RF_in,Month,RF
January,3.6821139610616282,December,3.2990437167143996
February,2.570988867149147,January,3.6821139610616282
March,2.6888578348976258,February,2.570988867149147
April,1.5850842429812362,March,2.6888578348976258
May,0.8775202857182954,April,1.5850842429812362
June,0.3214015660288512,May,0.8775202857182954
July,0.37763452389360297,June,0.3214015660288512
August,0.473073063551518,July,0.37763452389360297
September,0.5523184621994897,August,0.473073063551518
October,1.3357308975293234,September,0.5523184621994897
November,2.077359966018071,October,1.3357308975293234
December,3.2990437167143996,November,2.077359966018071
