,oldMonth,OldTemp,Month,Temp
0,January,67.97996390259847,May,70.73563042200136
1,February,67.67184471893098,June,71.85057593693811
2,March,68.31732696017363,July,72.84646228675359
3,April,69.3715128137757,August,73.46514437018415
4,May,70.73563042200136,September,73.25395446492504
5,June,71.85057593693811,October,72.63091007898532
6,July,72.84646228675359,November,71.0377240547135
7,August,73.46514437018415,December,69.11434453333773
8,September,73.25395446492504,January,67.97996390259847
9,October,72.63091007898532,February,67.67184471893098
10,November,71.0377240547135,March,68.31732696017363
11,December,69.11434453333773,April,69.3715128137757
