,oldMonth,OldTemp,Month,Temp
0,January,70.6265391773505,April,72.53797256900909
1,February,70.49232621383379,May,74.15444618053313
2,March,71.10315397377364,June,75.99197116025533
3,April,72.53797256900909,July,76.92788172634882
4,May,74.15444618053313,August,77.69464436610322
5,June,75.99197116025533,September,77.54912557152015
6,July,76.92788172634882,October,76.52319930755424
7,August,77.69464436610322,November,74.22766231023827
8,September,77.54912557152015,December,72.03551837748883
9,October,76.52319930755424,January,70.6265391773505
10,November,74.22766231023827,February,70.49232621383379
11,December,72.03551837748883,March,71.10315397377364
