,oldMonth,OldTemp,Month,Temp
0,January,69.01557571042392,April,70.60980932108185
1,February,68.73882208867919,May,72.132277961311
2,March,69.28956169259324,June,73.81980095763869
3,April,70.60980932108185,July,74.77762158346829
4,May,72.132277961311,August,75.45863508848346
5,June,73.81980095763869,September,75.2551291278812
6,July,74.77762158346829,October,74.43083799933224
7,August,75.45863508848346,November,72.56767173709505
8,September,75.2551291278812,December,70.48193552194809
9,October,74.43083799933224,January,69.01557571042392
10,November,72.56767173709505,February,68.73882208867919
11,December,70.48193552194809,March,69.28956169259324
