,oldMonth,OldTemp,Month,Temp
0,January,71.05638407814916,April,72.7068686466994
1,February,70.89454227373875,May,74.00020559642665
2,March,71.58625324304906,June,75.05823232410596
3,April,72.7068686466994,July,75.91122136557429
4,May,74.00020559642665,August,76.60004284337064
5,June,75.05823232410596,September,76.52812684459509
6,July,75.91122136557429,October,75.83662279717248
7,August,76.60004284337064,November,74.261261305814
8,September,76.52812684459509,December,72.37077268504316
9,October,75.83662279717248,January,71.05638407814916
10,November,74.261261305814,February,70.89454227373875
11,December,72.37077268504316,March,71.58625324304906
