,oldMonth,OldTemp,Month,Temp
0,January,69.99413902400555,May,73.20054272261304
1,February,69.76557425195648,June,74.89194855036638
2,March,70.34834091362063,July,75.82674112504334
3,April,71.73831458067448,August,76.51887744142743
4,May,73.20054272261304,September,76.3856218219419
5,June,74.89194855036638,October,75.51926989175733
6,July,75.82674112504334,November,73.62082273526232
7,August,76.51887744142743,December,71.50513027848186
8,September,76.3856218219419,January,69.99413902400555
9,October,75.51926989175733,February,69.76557425195648
10,November,73.62082273526232,March,70.34834091362063
11,December,71.50513027848186,April,71.73831458067448
