,oldMonth,OldTemp,Month,Temp
0,January,70.42772377370221,May,74.09849613594417
1,February,70.1274411865754,June,76.0827602910652
2,March,67.54564121894614,July,77.00548527175216
3,April,72.49875182266666,August,77.63874431120189
4,May,74.09849613594417,September,77.53476190983311
5,June,76.0827602910652,October,76.3899477428924
6,July,77.00548527175216,November,74.17298276525541
7,August,77.63874431120189,December,72.02088782531177
8,September,77.53476190983311,January,70.42772377370221
9,October,76.3899477428924,February,70.1274411865754
10,November,74.17298276525541,March,67.54564121894614
11,December,72.02088782531177,April,72.49875182266666
