,oldMonth,OldTemp,Month,Temp
0,January,72.16877652865766,May,75.57452214368556
1,February,72.04729910683366,June,77.27455557266234
2,March,72.70124081277959,July,78.15817373618114
3,April,74.15630883625255,August,78.87502774027872
4,May,75.57452214368556,September,78.8978886521928
5,June,77.27455557266234,October,77.93806572950348
6,July,78.15817373618114,November,75.9612125671539
7,August,78.87502774027872,December,73.77895167212753
8,September,78.8978886521928,January,72.16877652865766
9,October,77.93806572950348,February,72.04729910683366
10,November,75.9612125671539,March,72.70124081277959
11,December,73.77895167212753,April,74.15630883625255
