,oldMonth,OldTemp,Month,Temp
0,January,55.57263958914784,May,57.948702889172594
1,February,54.77479615107038,June,59.22613698311665
2,March,55.236474256522335,July,60.69218387743688
3,April,56.21309075293331,August,61.04883122850794
4,May,57.948702889172594,September,60.34887056995975
5,June,59.22613698311665,October,60.00053547458209
6,July,60.69218387743688,November,58.37453885060833
7,August,61.04883122850794,December,56.39241614642363
8,September,60.34887056995975,January,55.57263958914784
9,October,60.00053547458209,February,54.77479615107038
10,November,58.37453885060833,March,55.236474256522335
11,December,56.39241614642363,April,56.21309075293331
