,oldMonth,OldTemp,Month,Temp
0,January,69.14109890300882,April,70.74908887173028
1,February,68.87052627584575,May,72.26930673301149
2,March,69.42537363185366,June,73.9573287064931
3,April,70.74908887173028,July,74.91219465577093
4,May,72.26930673301149,August,75.59463543550703
5,June,73.9573287064931,September,75.40014039634573
6,July,74.91219465577093,October,74.57045401006646
7,August,75.59463543550703,November,72.70276237165027
8,September,75.40014039634573,December,70.61318338996931
9,October,74.57045401006646,January,69.14109890300882
10,November,72.70276237165027,February,68.87052627584575
11,December,70.61318338996931,March,69.42537363185366
