,oldMonth,OldTemp,Month,Temp
0,January,70.88776255405088,May,74.4610876861994
1,February,70.768945884027,June,76.31030388652883
2,March,71.39512715258772,July,77.22858465583887
3,April,72.89022388459611,August,77.99167156570269
4,May,74.4610876861994,September,77.82104871966908
5,June,76.31030388652883,October,76.79859317003843
6,July,77.22858465583887,November,74.51933102391398
7,August,77.99167156570269,December,72.32241139563087
8,September,77.82104871966908,January,70.88776255405088
9,October,76.79859317003843,February,70.768945884027
10,November,74.51933102391398,March,71.39512715258772
11,December,72.32241139563087,April,72.89022388459611
