,oldMonth,OldTemp,Month,Temp
0,January,60.007811784953475,May,62.519569806257834
1,February,59.3850268361385,June,63.73891962010963
2,March,59.91240842897457,July,65.03690109457546
3,April,60.91675317925943,August,65.48721663970099
4,May,62.519569806257834,September,64.96197389762114
5,June,63.73891962010963,October,64.51543987226493
6,July,65.03690109457546,November,62.90117200298426
7,August,65.48721663970099,December,60.9400476864583
8,September,64.96197389762114,January,60.007811784953475
9,October,64.51543987226493,February,59.3850268361385
10,November,62.90117200298426,March,59.91240842897457
11,December,60.9400476864583,April,60.91675317925943
