,oldMonth,OldTemp,Month,Temp
0,January,70.72965749603372,May,73.56945063141745
1,February,70.5300698935997,June,74.64838626571817
2,March,71.216287264565,July,75.54007601117485
3,April,72.28766346211532,August,76.21683002827778
4,May,73.56945063141745,September,76.1139611695334
5,June,74.64838626571817,October,75.43003595005882
6,July,75.54007601117485,November,73.8441209678408
7,August,76.21683002827778,December,71.93376000067941
8,September,76.1139611695334,January,70.72965749603372
9,October,75.43003595005882,February,70.5300698935997
10,November,73.8441209678408,March,71.216287264565
11,December,71.93376000067941,April,72.28766346211532
