,oldMonth,OldTemp,Month,Temp
0,January,64.64459418333178,May,67.29821455638894
1,February,64.2048260998969,June,68.45684128359974
2,March,64.8008983271247,July,69.57911686489525
3,April,65.83423126157562,August,70.1273584887234
4,May,67.29821455638894,September,69.78477605622226
5,June,68.45684128359974,October,69.23557980098123
6,July,69.57911686489525,November,67.6335730293912
7,August,70.1273584887234,December,65.69440231457283
8,September,69.78477605622226,January,64.64459418333178
9,October,69.23557980098123,February,64.2048260998969
10,November,67.6335730293912,March,64.8008983271247
11,December,65.69440231457283,April,65.83423126157562
