,Year,Month,Temp,datetime
0,1990.0,1.0,64.760791015625,1990-01-01
1,1990.0,2.0,62.571416558159726,1990-02-01
2,1990.0,3.0,63.47090657552083,1990-03-01
3,1990.0,4.0,65.97563747829861,1990-04-01
4,1990.0,5.0,66.301025390625,1990-05-01
5,1990.0,6.0,67.54807942708334,1990-06-01
6,1990.0,7.0,68.88212348090278,1990-07-01
7,1990.0,8.0,70.23790418836805,1990-08-01
8,1990.0,9.0,70.36021864149305,1990-09-01
9,1990.0,10.0,68.65632866753472,1990-10-01
10,1990.0,11.0,67.67924262152778,1990-11-01
11,1990.0,12.0,64.20838216145833,1990-12-01
12,1991.0,1.0,63.03106553819444,1991-01-01
13,1991.0,2.0,64.64476725260417,1991-02-01
14,1991.0,3.0,62.99591742621528,1991-03-01
15,1991.0,4.0,64.51893717447916,1991-04-01
16,1991.0,5.0,65.83684624565973,1991-05-01
17,1991.0,6.0,66.52825249565973,1991-06-01
18,1991.0,7.0,68.07852918836807,1991-07-01
19,1991.0,8.0,69.61186794704861,1991-08-01
20,1991.0,9.0,69.11034071180555,1991-09-01
21,1991.0,10.0,67.68574761284722,1991-10-01
22,1991.0,11.0,67.5833713107639,1991-11-01
23,1991.0,12.0,64.97933756510417,1991-12-01
24,1992.0,1.0,62.74708387586806,1992-01-01
25,1992.0,2.0,62.928949652777774,1992-02-01
26,1992.0,3.0,63.79102918836806,1992-03-01
27,1992.0,4.0,64.38006727430556,1992-04-01
28,1992.0,5.0,67.10853678385416,1992-05-01
29,1992.0,6.0,67.97558051215279,1992-06-01
30,1992.0,7.0,68.44886067708333,1992-07-01
31,1992.0,8.0,68.994580078125,1992-08-01
32,1992.0,9.0,69.7899658203125,1992-09-01
33,1992.0,10.0,69.35482042100695,1992-10-01
34,1992.0,11.0,67.33097059461807,1992-11-01
35,1992.0,12.0,65.48804796006945,1992-12-01
36,1993.0,1.0,62.32894965277778,1993-01-01
37,1993.0,2.0,61.49624565972222,1993-02-01
38,1993.0,3.0,62.98125542534722,1993-03-01
39,1993.0,4.0,65.06219889322917,1993-04-01
40,1993.0,5.0,64.946728515625,1993-05-01
41,1993.0,6.0,66.82121853298611,1993-06-01
42,1993.0,7.0,67.94095865885416,1993-07-01
43,1993.0,8.0,68.74830457899306,1993-08-01
44,1993.0,9.0,69.03255479600693,1993-09-01
45,1993.0,10.0,68.00021430121528,1993-10-01
46,1993.0,11.0,65.25288899739584,1993-11-01
47,1993.0,12.0,63.182666015625,1993-12-01
48,1994.0,1.0,61.9705810546875,1994-01-01
49,1994.0,2.0,63.68749457465277,1994-02-01
50,1994.0,3.0,63.0995361328125,1994-03-01
51,1994.0,4.0,63.84763997395834,1994-04-01
52,1994.0,5.0,65.66969943576389,1994-05-01
53,1994.0,6.0,66.2861572265625,1994-06-01
54,1994.0,7.0,68.97481011284722,1994-07-01
55,1994.0,8.0,69.05231662326389,1994-08-01
56,1994.0,9.0,69.22275661892361,1994-09-01
57,1994.0,10.0,67.96260036892362,1994-10-01
