,oldMonth,OldTemp,Month,Temp
0,January,69.52461315746311,April,70.96760096912271
1,February,69.27746118638997,May,72.32753744103653
2,March,69.94582701432834,June,73.42225439651027
3,April,70.96760096912271,July,74.35995214084768
4,May,72.32753744103653,August,75.01091230009067
5,June,73.42225439651027,September,74.79171315779716
6,July,74.35995214084768,October,74.20332777808171
7,August,75.01091230009067,November,72.61422571822726
8,September,74.79171315779716,December,70.69815952564906
9,October,74.20332777808171,January,69.52461315746311
10,November,72.61422571822726,February,69.27746118638997
11,December,70.69815952564906,March,69.94582701432834
