,Month,MRF,Phase,Count,MeRF,MnRF,MeAnom,MnAnom,MT,MeT,MnT
0,1,5.559731787383096,SEL,11,4.063044940378054,0.694258022299079,-1.4966868470050416,-4.865473765084017,63.46220452100204,63.694332727995786,61.48702799479166
1,1,5.559731787383096,WEL,15,6.352094508180013,0.2276664578881036,0.792362720796917,-5.332065329494992,63.46220452100204,63.84591125519803,62.99558648003472
2,1,5.559731787383096,NUT,20,7.347805541980323,0.7384537171840065,1.7880737545972272,-4.82127807019909,63.46220452100204,62.78550608474497,60.77690158420139
3,1,5.559731787383096,WLA,19,3.8649582231838204,0.22377986468529,-1.6947735641992754,-5.335951922697806,63.46220452100204,64.02344108425962,62.00133714250708
4,1,5.559731787383096,SLA,10,5.661465500677433,2.5074431207166814,0.10173371329433678,-3.0522886666664144,63.46220452100204,62.310553800972734,61.41702632862305
5,2,4.700835756623449,SEL,10,3.692235751414862,1.1185189884304827,-1.0086000052085868,-3.582316768192966,62.95677779520698,62.6995819452164,61.69562445746528
6,2,4.700835756623449,WEL,9,4.94184962064023,1.285035971523525,0.24101386401678138,-3.415799785099924,62.95677779520698,62.423283093019364,62.08000217013888
7,2,4.700835756623449,NUT,29,4.995252753664468,0.7446891285534838,0.29441699704101953,-3.9561466280699653,62.95677779520698,63.05243200497315,60.25802680121528
8,2,4.700835756623449,WLA,19,5.2957144623443675,1.3525759672022335,0.5948787057209186,-3.348259789421215,62.95677779520698,63.08409507206009,61.41659725250224
9,2,4.700835756623449,SLA,8,3.210346625754423,0.2092020178114671,-1.490489130869026,-4.491633738811982,62.95677779520698,63.04922426046308,61.473418426166745
10,3,6.227589516138104,SEL,7,4.288522908160786,1.8434309345229416,-1.9390666079773178,-4.3841585816151625,63.547413384987685,63.434921853201836,62.54222547743056
11,3,6.227589516138104,WEL,5,6.709660858364927,3.5858089624647613,0.48207134222682324,-2.6417805536733425,63.547413384987685,63.29779204819314,62.60643176616753
12,3,6.227589516138104,NUT,39,6.890423926118867,0.92145333707744,0.6628344099807633,-5.306136179060664,63.547413384987685,63.661012962774144,61.678615993923614
13,3,6.227589516138104,WLA,20,5.864595134531524,1.7313924118046442,-0.3629943816065797,-4.49619710433346,63.547413384987685,63.44805812359855,61.35014974619732
