,oldMonth,OldTemp,Month,Temp
0,January,53.937137486204314,May,56.263162511944486
1,February,53.074739749875064,June,57.56201507124942
2,March,53.512189255513356,July,59.09003732389219
3,April,54.47858084820798,August,59.41214426505529
4,May,56.263162511944486,September,58.6477550823256
5,June,57.56201507124942,October,58.335631141545214
6,July,59.09003732389219,November,56.705309577721906
7,August,59.41214426505529,December,54.715443448030804
8,September,58.6477550823256,January,53.937137486204314
9,October,58.335631141545214,February,53.074739749875064
10,November,56.705309577721906,March,53.512189255513356
11,December,54.715443448030804,April,54.47858084820798
