,oldMonth,OldTemp,Month,Temp
0,January,58.85852203838671,April,59.681093503949576
1,February,58.19037376655466,May,61.33511697248025
2,March,58.70072948808719,June,62.569518168372
3,April,59.681093503949576,July,63.911050625742035
4,May,61.33511697248025,August,64.33709403387282
5,June,62.569518168372,September,63.76657680960136
6,July,63.911050625742035,October,63.345488901242334
7,August,64.33709403387282,November,61.728181692436465
8,September,63.76657680960136,December,59.761616118143785
9,October,63.345488901242334,January,58.85852203838671
10,November,61.728181692436465,February,58.19037376655466
11,December,59.761616118143785,March,58.70072948808719
