,oldMonth,OldTemp,Month,Temp
0,January,61.35723510451388,April,62.325149188986416
1,February,60.78607182244564,May,63.9102781985507
2,March,61.27152416828618,June,65.11195633362651
3,April,62.325149188986416,July,66.3609424099975
4,May,63.9102781985507,August,66.83761715633649
5,June,65.11195633362651,September,66.36553370687969
6,July,66.3609424099975,October,65.8891223406476
7,August,66.83761715633649,November,64.27842270433577
8,September,66.36553370687969,December,62.323687295107604
9,October,65.8891223406476,January,61.35723510451388
10,November,64.27842270433577,February,60.78607182244564
11,December,62.323687295107604,March,61.27152416828618
