,oldMonth,OldTemp,Month,Temp
0,January,71.75895852725472,May,75.12713730822381
1,February,71.61729995534253,June,76.82554504938616
2,March,72.2578284253531,July,77.71880654553208
3,April,73.70062920551355,August,78.43100302444843
4,May,75.12713730822381,September,78.4244430193599
5,June,76.82554504938616,October,77.48223514131367
6,July,77.71880654553208,November,75.52015790578827
7,August,78.43100302444843,December,73.35044187416639
8,September,78.4244430193599,January,71.75895852725472
9,October,77.48223514131367,February,71.61729995534253
10,November,75.52015790578827,March,72.2578284253531
11,December,73.35044187416639,April,73.70062920551355
