,oldMonth,OldTemp,Month,Temp
0,January,70.8495592409181,April,72.80644465829906
1,February,70.72849082290759,May,74.41624206701044
2,March,71.3524263910447,June,76.2637484335353
3,April,72.80644465829906,July,77.18460675903965
4,May,74.41624206701044,August,77.94823105757756
5,June,76.2637484335353,September,77.78128043480535
6,July,77.18460675903965,October,76.75831704251118
7,August,77.94823105757756,November,74.47667512942691
8,September,77.78128043480535,December,72.28045354876281
9,October,76.75831704251118,January,70.8495592409181
10,November,74.47667512942691,February,70.72849082290759
11,December,72.28045354876281,March,71.3524263910447
