,oldMonth,OldTemp,Month,Temp
0,January,69.63881498916156,May,72.44523369964021
1,February,69.39617084572765,June,73.5384547300404
2,March,70.06622808066886,July,74.47148053204813
3,April,71.13078444625657,August,75.1251966126296
4,May,72.44523369964021,September,74.97935533313375
5,June,73.5384547300404,October,74.31958256788326
6,July,74.47148053204813,November,72.73078288472978
7,August,75.1251966126296,December,70.81525741740309
8,September,74.97935533313375,January,69.63881498916156
9,October,74.31958256788326,February,69.39617084572765
10,November,72.73078288472978,March,70.06622808066886
11,December,70.81525741740309,April,71.13078444625657
