,oldMonth,OldTemp,Month,Temp
0,January,54.90829849128169,May,57.264035774100684
1,February,54.08423279464902,June,58.55017044742135
2,March,54.536069090432434,July,60.04139106581119
3,April,55.508532433474436,August,60.38400847372859
4,May,57.264035774100684,September,59.657876909147205
5,June,58.55017044742135,October,59.3242509220188
6,July,60.04139106581119,November,57.69649758392951
7,August,60.38400847372859,December,55.711229244923665
8,September,59.657876909147205,January,54.90829849128169
9,October,59.3242509220188,February,54.08423279464902
10,November,57.69649758392951,March,54.536069090432434
11,December,55.711229244923665,April,55.508532433474436
