,oldMonth,OldTemp,Month,Temp
0,January,68.89667483623153,May,72.00247736577239
1,February,68.61406584065156,June,73.68952920759912
2,March,69.16091343989319,July,74.65014726428684
3,April,70.5180361993617,August,75.32980936699201
4,May,72.00247736577239,September,75.11776722799924
5,June,73.68952920759912,October,74.29858696105207
6,July,74.65014726428684,November,72.43970829474766
7,August,75.32980936699201,December,70.35761130454307
8,September,75.11776722799924,January,68.89667483623153
9,October,74.29858696105207,February,68.61406584065156
10,November,72.43970829474766,March,69.16091343989319
11,December,70.35761130454307,April,70.5180361993617
