,oldMonth,OldTemp,Month,Temp
0,January,67.03968547384667,May,69.76658418937036
1,February,66.69445291731887,June,70.89384378768479
2,March,67.32600606933482,July,71.92536091718416
3,April,68.37431320310137,August,72.52418456446655
4,May,69.76658418937036,September,72.27595339459346
5,June,70.89384378768479,October,71.67372815405889
6,July,71.92536091718416,November,70.0780553404822
7,August,72.52418456446655,December,68.15022432558693
8,September,72.27595339459346,January,67.03968547384667
9,October,71.67372815405889,February,66.69445291731887
10,November,70.0780553404822,March,67.32600606933482
11,December,68.15022432558693,April,68.37431320310137
