,oldMonth,OldTemp,Month,Temp
0,January,70.73184036133203,April,72.51417005919312
1,February,70.53960270462113,May,74.00586685709118
2,March,71.14651430061765,June,75.70019941583381
3,April,72.51417005919312,July,76.61763209353796
4,May,74.00586685709118,August,77.31815340279591
5,June,75.70019941583381,September,77.23785745787792
6,July,76.61763209353796,October,76.33979711093669
7,August,77.31815340279591,November,74.4147524350774
8,September,77.23785745787792,December,72.27647778319194
9,October,76.33979711093669,January,70.73184036133203
10,November,74.4147524350774,February,70.53960270462113
11,December,72.27647778319194,March,71.14651430061765
