,oldMonth,OldTemp,Month,Temp
0,January,67.83278335884341,May,70.58394652807722
1,February,67.51885479340595,June,71.7008199194638
2,March,68.10892439871347,July,72.70299971325292
3,April,69.2154222884082,August,73.31785681691889
4,May,70.58394652807722,September,73.1008694197421
5,June,71.7008199194638,October,72.48108369700344
6,July,72.70299971325292,November,70.88750800325467
7,August,73.31785681691889,December,68.96343159325107
8,September,73.1008694197421,January,67.83278335884341
9,October,72.48108369700344,February,67.51885479340595
10,November,70.88750800325467,March,68.10892439871347
11,December,68.96343159325107,April,69.2154222884082
