,oldMonth,OldTemp,Month,Temp
0,January,70.87410400774284,May,73.71831699507455
1,February,70.68021772238274,June,74.79536063194354
2,March,71.36857526288819,July,75.68157664210673
3,April,72.44085452214853,August,76.36138120591762
4,May,73.71831699507455,September,76.26420241978836
5,June,74.79536063194354,October,75.57707909558955
6,July,75.68157664210673,November,73.9915460735278
7,August,76.36138120591762,December,72.08186897696163
8,September,76.26420241978836,January,70.87410400774284
9,October,75.57707909558955,February,70.68021772238274
10,November,73.9915460735278,March,71.36857526288819
11,December,72.08186897696163,April,72.44085452214853
