,Unnamed: 0.1,Year,Month,NDVI,datetime
272,272,2022.0,October,0.8370287671232879,2022-10-01
273,273,2022.0,November,0.8768266233766234,2022-11-01
274,274,2022.0,December,0.77114,2022-12-01
275,275,2023.0,January,0.807310606060606,2023-01-01
276,276,2023.0,February,0.7605760869565218,2023-02-01
277,277,2023.0,March,0.7605417910447761,2023-03-01
278,278,2023.0,April,0.6280446969696971,2023-04-01
279,279,2023.0,May,0.7006521739130436,2023-05-01
280,280,2023.0,June,0.758990506329114,2023-06-01
281,281,2023.0,July,0.7527908450704226,2023-07-01
282,282,2023.0,August,0.6879550724637682,2023-08-01
283,283,2023.0,September,0.6507794520547946,2023-09-01
