,oldMonth,OldTemp,Month,Temp
0,January,55.84761364677948,May,58.23208969713568
1,February,55.060623243395746,June,59.505922654430584
2,March,55.45402682782802,July,60.96490005028376
3,April,56.50471072191428,August,61.32400423960269
4,May,58.23208969713568,September,60.63487609645703
5,June,59.505922654430584,October,60.280452713423905
6,July,60.96490005028376,November,58.65518331972297
7,August,61.32400423960269,December,56.67436224578012
8,September,60.63487609645703,January,55.84761364677948
9,October,60.280452713423905,February,55.060623243395746
10,November,58.65518331972297,March,55.45402682782802
11,December,56.67436224578012,April,56.50471072191428
