,oldMonth,OldTemp,Month,Temp
0,January,71.48135840374817,May,75.19657303609208
1,February,71.40753096838961,June,77.07280740270551
2,March,72.07296870481767,July,77.94148644722402
3,April,73.65366205522463,August,78.69307219968402
4,May,75.19657303609208,September,78.4549908445349
5,June,77.07280740270551,October,77.44471843739912
6,July,77.94148644722402,November,75.21265213592967
7,August,78.69307219968402,December,73.00752283759839
8,September,78.4549908445349,January,71.48135840374817
9,October,77.44471843739912,February,71.40753096838961
10,November,75.21265213592967,March,72.07296870481767
11,December,73.00752283759839,April,73.65366205522463
