,oldMonth,OldTemp,Month,Temp
0,January,65.79822030551489,May,68.48713595760044
1,February,65.40398639389478,June,69.63065437447919
2,March,65.96067100133342,July,70.71037855853469
3,April,67.05769374576225,August,71.28182033881389
4,May,68.48713595760044,September,70.98468339341943
5,June,69.63065437447919,October,70.40994499605775
6,July,70.71037855853469,November,68.81098903416334
7,August,71.28182033881389,December,66.87727959561923
8,September,70.98468339341943,January,65.79822030551489
9,October,70.40994499605775,February,65.40398639389478
10,November,68.81098903416334,March,65.96067100133342
11,December,66.87727959561923,April,67.05769374576225
