,oldMonth,OldTemp,Month,Temp
0,January,71.88930475431782,May,74.76457768907882
1,February,71.73548930868492,June,75.82832604520212
2,March,72.43888575160473,July,76.67607288588061
3,April,73.51751185189372,August,77.377317164961
4,May,74.76457768907882,September,77.32013144793267
5,June,75.82832604520212,October,76.61053086597502
6,July,76.67607288588061,November,75.02768211365871
7,August,77.377317164961,December,73.12281132221194
8,September,77.32013144793267,January,71.88930475431782
9,October,76.61053086597502,February,71.73548930868492
10,November,75.02768211365871,March,72.43888575160473
11,December,73.12281132221194,April,73.51751185189372
