Year,Month,Day,RF_in
2025,11,1,0.0043833678742359
2025,11,2,0.0106696372385841
2025,11,3,0.0
2025,11,4,0.0550057986068391
2025,11,5,0.0260697327075482
2025,11,6,0.0175219276526862
2025,11,7,0.0001154880841434
2025,11,8,1.4200686156906168
2025,11,9,1.962062464495541
2025,11,10,0.2089444710490561
2025,11,11,0.8141215285372315
2025,11,12,1.711168753645378
2025,11,13,0.8296104083316626
2025,11,14,0.222444546353635
2025,11,15,0.028200892117184
2025,11,16,0.0719259667584276
2025,11,17,0.0404028541622048
2025,11,18,0.1382782851640344
2025,11,19,0.3118326004130669
2025,11,20,0.0915050831065414
2025,11,21,0.1144021962142563
2025,11,22,0.0301573289730486
2025,11,23,0.1536579044935735
2025,11,24,0.0129334609316379
2025,11,25,0.0
2025,11,26,0.0
2025,11,27,0.0043779867110498
2025,11,28,0.0
2025,11,29,0.0
2025,11,30,0.0
2025,12,2,0.0185793519448849
2025,12,3,0.0207591545851826
2025,12,4,0.1528933185686045
2025,12,5,0.2782478974050227
2025,12,6,0.0012911108871167
2025,12,7,0.1905517637457318
2025,12,8,0.0051915658346543
2025,12,9,0.0363279290550174
2025,12,10,0.0007620463394917
2025,12,11,0.6819927267121124
2025,12,12,0.0136596514298661
2025,12,13,0.005147027195259
2025,12,14,0.249040317544671
2025,12,15,0.0001067132818069
2025,12,16,0.2034545109317661
2025,12,17,0.0446797761484173
2025,12,18,0.1218648224307112
2025,12,19,0.0690520501547007
2025,12,20,0.0676369150213102
2025,12,21,0.010421773695999
2025,12,22,0.0728410861924865
2025,12,23,0.3940424228926679
2025,12,24,0.0100447622369466
2025,12,25,0.0022247763061078
2025,12,26,0.0719656971623393
2025,12,27,0.0050895721882022
2025,12,28,0.0013082174839032
2025,12,29,0.0014023197002008
2025,12,30,0.11045225092814734
